Id,Tweet,following,followers,actions,is_retweet,location,Type
10091,It's the everything else that's complicated. #PESummit #PXpic.twitter.com/Jsv6BAFQMl,0.0,11500.0,,0.0,Chicago,Quality
10172,Eren sent a glare towards Mikasa then nodded and stood up to go help his lovely girlfriend @SincerePyrrhic. Once he arrived in the kitchen⎯,0.0,0.0,,0.0,,Quality
7012,I posted a new photo to Facebook http://fb.me/2Be7LiyuJ,0.0,0.0,,0.0,"Scotland, U.K",Quality
3697,#jan Idiot Chelsea Handler Diagnoses Trump With a Disease https://t.co/k8PrqcWTRI https://t.co/dRN35xtSJZ,3319.0,611.0,294.0,0.0,"Atlanta, Ga",Spam
10740,Pedophile Anthony Weiner is TERRIFIED of Getting Beaten Up in Prison https://t.co/g3bU9Q4gAg,4840.0,1724.0,1522.0,0.0,Blumberg,Spam
9572,EBMUD ending penalties for excessive water users https://t.co/D5a1FMVMHd,4435.0,16041.0,27750.0,0.0,UPS,Spam
10792,Big day.  #WeTheNorth #yyz #thesix #sunset #skyline @ The Six https://www.instagram.com/p/BFgrA9gBZay/,0.0,0.0,0.0,0.0,"Toronto, ON",Quality
11594,"#UPA #scams to the tune of Rs 12 lakh Crore #Shame
""Con""gress - Conning India since Independence!
@INCIndia @IYCpic.twitter.com/0ZHSYhX5c2",0.0,193000.0,,0.0,Mumbai,Quality
12594,"**MISSING**
A male tabby cat has gone missing in the N10 area of #London. Please RT!
https://mylostbox.com/item/missing-tabby-cat-named-buttons/ …pic.twitter.com/3Msg3NmZ0x",39000.0,46900.0,47.0,0.0,UK,Quality
10963,Paraguayan man linked to Hezbollah faces drug charges in Miami https://t.co/zBLCgoqO2I https://t.co/vZHbCMx28S,9025.0,20165.0,6331.0,0.0,"Cape Town, South africa",Spam
10778,Tagged by @CFOAlbaAsturias @AlbaSweetCFpic.twitter.com/sTfpjwrFSC,0.0,0.0,,0.0,"siempre, rct",Quality
4174,"""WE ORDERED THE SAME THING, WHY YOU EATING OFF MY PLATE?!""

""BECAUSE I WANT TO, YOURS MIGHT TASTE BETTER""pic.twitter.com/0n1cUA8aPv",0.0,0.0,,0.0,,Quality
5401,"#NowPlaying: De La Soul feat. Roc Marciano ""Property of https://t.co/KZmwHSA5nn"" #music https://t.co/f3LFKzB1Ct",780.0,897.0,4792.0,1.0,UK,Spam
7636,The Guardian: Trump's Tweets Keep U.S. Manufacturers on Their Toes #MAGA #AmericaFirst #PresidentTrump  https://t.co/V0sQskFolF https://t.co/jhxaxLDowy,1893.0,1651.0,3564.0,1.0,"Mumbai, Maharashtra",Spam
6908,Terrorists. https://t.co/RQkQXroDNB,7981.0,12815.0,13601.0,1.0,"Austin, Texas",Spam
5265,Eastside Ivo (@eastside_ivo) came through Real Talk on Sunday. Sorry we couldn't be more… https://www.instagram.com/p/BFgq0pRCzfS/,0.0,0.0,0.0,0.0,,Quality
10433,Boston bombing survivor s charity gives 1st artificial limb #DemnDebate #DemDebate #tcot,85.0,73.0,434.0,0.0,South MY,Spam
1643,Lovelyz - Bookmark  https://twitter.com/shaytyen/status/726671432202117120/video/1 …,0.0,0.0,,0.0,LovelyzRP,Quality
2445,Happy #TideTuesday everyone I live you  @TheTideAustin @TheTideDrew @TheTideLevi @TheTideNate,0.0,0.0,259.0,0.0,em,Quality
5841,"normal person: 30% used phone memory space.
when i met bangtan: no more phone memory space.

Reason:
-60% bts shit.
-40% bts handsome faceu.",0.0,0.0,,0.0,"strong power, thank you!",Quality
